order_id,ts,symbol,pnl,adapter_latency_ms,direction,price,quantity
,2025-11-20T17:56:01.221286+00:00,USDJPY,0.0,,BUY,157.501,249860.0
,2025-11-20T18:13:00.941277+00:00,USDJPY,0.0,,SELL,157.663,249860.0
,2025-11-20T18:14:00.895449+00:00,USDJPY,0.0,,BUY,157.667,260283.0
,2025-11-20T18:19:01.110276+00:00,USDJPY,0.0,,SELL,157.57,260283.0
,2025-11-20T18:22:00.352193+00:00,USDJPY,0.0,,BUY,157.601,286430.0
,2025-11-20T18:37:01.293293+00:00,USDJPY,0.0,,SELL,157.537,286430.0
,2025-11-20T18:37:01.877270+00:00,USDJPY,0.0,,BUY,157.553,326331.0
,2025-11-20T18:47:00.372162+00:00,USDJPY,0.0,,SELL,157.485,326331.0
,2025-11-20T18:47:00.512642+00:00,USDJPY,0.0,,BUY,157.502,326667.0
,2025-11-20T18:53:00.962773+00:00,USDJPY,0.0,,SELL,157.441,326667.0
,2025-11-20T18:56:00.809396+00:00,USDJPY,0.0,,BUY,157.454,384388.0
,2025-11-20T19:36:01.141398+00:00,USDJPY,0.0,,SELL,157.541,384388.0
,2025-11-20T19:36:01.894343+00:00,USDJPY,0.0,,BUY,157.555,436790.0
,2025-11-20T19:38:01.028423+00:00,USDJPY,0.0,,SELL,157.51,436790.0
,2025-11-20T19:44:00.372283+00:00,USDJPY,0.0,,BUY,157.526,448061.0
,2025-11-20T19:47:00.802711+00:00,USDJPY,0.0,,SELL,157.462,448061.0
,2025-11-20T19:52:00.895386+00:00,USDJPY,0.0,,BUY,157.517,417488.0
,2025-11-20T20:17:00.964540+00:00,USDJPY,0.0,,SELL,157.581,417488.0
,2025-11-20T20:17:01.131522+00:00,USDJPY,0.0,,BUY,157.599,504605.0
,2025-11-20T21:00:00.700874+00:00,USDJPY,0.0,,SELL,157.572,504605.0
,2025-11-20T21:00:01.567822+00:00,USDJPY,0.0,,BUY,157.585,459953.0
,2025-11-20T21:01:00.263254+00:00,USDJPY,0.0,,SELL,157.514,459953.0
,2025-11-20T21:09:00.990142+00:00,USDJPY,0.0,,BUY,157.539,280983.0
,2025-11-20T21:38:01.274924+00:00,USDJPY,0.0,,SELL,157.535,280983.0
,2025-11-20T21:53:23.701042+00:00,USDJPY,0.0,,BUY,157.495,42655.0
,2025-11-20T21:53:23.830399+00:00,USDJPY,0.0,,SELL,157.478,42655.0
,2025-11-20T21:53:23.963849+00:00,USDJPY,0.0,,BUY,157.495,76893.0
,2025-11-20T21:53:24.095284+00:00,USDJPY,0.0,,SELL,157.478,76893.0
,2025-11-21T00:00:51.659655+00:00,USDJPY,0.0,,BUY,157.476,42654.0
,2025-11-21T00:00:51.788046+00:00,USDJPY,0.0,,SELL,157.457,42654.0
,2025-11-21T00:00:51.926971+00:00,USDJPY,0.0,,BUY,157.476,76893.0
,2025-11-21T00:00:52.055433+00:00,USDJPY,0.0,,SELL,157.459,76893.0
,2025-11-21T00:02:50.136001+00:00,USDJPY,0.0,,BUY,157.479,30046.0
,2025-11-21T00:02:50.262290+00:00,USDJPY,0.0,,SELL,157.459,30046.0
,2025-11-21T00:05:19.303032+00:00,USDJPY,0.0,,BUY,157.501,42654.0
,2025-11-21T00:05:19.433638+00:00,USDJPY,0.0,,SELL,157.483,42654.0
,2025-11-21T00:05:19.573001+00:00,USDJPY,0.0,,BUY,157.5,76891.0
,2025-11-21T00:05:19.698344+00:00,USDJPY,0.0,,SELL,157.482,76891.0

,2025-11-21T01:00:01.109324+00:00,USDJPY,0.0,,BUY,157.341,29649.0
,2025-11-21T08:00:01.217539+00:00,USDJPY,0.0,,SELL,156.735,29649.0
